image_url,model_name,model_details,over_all_reviews,product_cost,product_offer,free_delivery_list
https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/e/e/-original-imaghx9q5rvcdghy.jpeg?q=70,"APPLE iPhone 14 (Midnight, 128 GB)","128 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 12MP + 12MP | 12MP Front Camera A15 Bionic Chip, 6 Core Processor Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"₹71,999",9% off,Free delivery
https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70,"APPLE iPhone 14 (Blue, 128 GB)","128 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 12MP + 12MP | 12MP Front Camera A15 Bionic Chip, 6 Core Processor Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"₹71,999",9% off,Free delivery
https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/u/f/-original-imaghxa5hvapbfds.jpeg?q=70,"APPLE iPhone 14 (Purple, 128 GB)","128 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 12MP + 12MP | 12MP Front Camera A15 Bionic Chip, 6 Core Processor Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"₹71,999",9% off,Free delivery
https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/o/b/-original-imaghx9qkugtbfrn.jpeg?q=70,"APPLE iPhone 14 (Starlight, 256 GB)","256 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 12MP + 12MP | 12MP Front Camera A15 Bionic Chip, 6 Core Processor Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"₹81,999",8% off,Free delivery
https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/o/b/-original-imaghx9qkugtbfrn.jpeg?q=70,"APPLE iPhone 14 (Starlight, 128 GB)","128 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 12MP + 12MP | 12MP Front Camera A15 Bionic Chip, 6 Core Processor Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"₹71,999",9% off,Free delivery
https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/e/e/-original-imaghx9q5rvcdghy.jpeg?q=70,"APPLE iPhone 14 (Midnight, 256 GB)","256 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 12MP + 12MP | 12MP Front Camera A15 Bionic Chip, 6 Core Processor Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"₹81,999",8% off,Free delivery
https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/u/f/-original-imaghxa5hvapbfds.jpeg?q=70,"APPLE iPhone 14 (Purple, 256 GB)","256 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 12MP + 12MP | 12MP Front Camera A15 Bionic Chip, 6 Core Processor Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"₹81,999",8% off,Free delivery
https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70,"APPLE iPhone 14 (Blue, 256 GB)","256 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 12MP + 12MP | 12MP Front Camera A15 Bionic Chip, 6 Core Processor Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"₹81,999",8% off,Free delivery
https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/r/k/o/-original-imaghx9qtwbnhwvy.jpeg?q=70,"APPLE iPhone 14 ((PRODUCT)RED, 128 GB)","128 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 12MP + 12MP | 12MP Front Camera A15 Bionic Chip, 6 Core Processor Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"₹71,999",9% off,Free delivery
https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/r/k/o/-original-imaghx9qtwbnhwvy.jpeg?q=70,"APPLE iPhone 14 ((PRODUCT)RED, 256 GB)","256 GB ROM 15.49 cm (6.1 inch) Super Retina XDR Display 12MP + 12MP | 12MP Front Camera A15 Bionic Chip, 6 Core Processor Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",4.6,"₹81,999",8% off,Free delivery
